Club Name,Address,City,State,Zip Code,Zone,Splashball
222 Water Polo,5000 Mitty Way, San Jose, California,95129,Pacific Zone,FALSE
505 Master's Water Polo Club,"West Mesa Aquatic Center, 6705 Fortuna Rd Sw", Albuquerque, New Mexico,87105,Mountain Zone,FALSE
562 Water Polo Club,"Long Beach Poly, 1600 Atlantic Ave", Long Beach, California,90813,Coastal California Zone,FALSE
680 Water Polo,13 Hawthorne Ct., Walnut Creek, California,94596,Pacific Zone,FALSE
908 Water Polo,"Petroleum Club, 3636 Linden ave.", Long Beach, California,90807,Coastal California Zone,FALSE
A-Town Water Polo Club,3175 Colima Road, Atascadero, California,93422,Central California Zone,TRUE
Aerie Water Polo Club,100 S. Barrington Place, Los Angeles, California,90049,Coastal California Zone,FALSE
Alameda Water Polo Club,1143 Verdemar Drive, Alameda, California,94502,Pacific Zone,TRUE
Alamo Area Aquatics Association,705 Trafalgar Road, San Antonio, Texas,78216,Southwest Zone,FALSE
Alamo Masters Wp Club,302 Happy Trail, San Antonio, Texas,78231,Southwest Zone,FALSE
Albuquerque Water Polo Club,"1741 Bellamah Ave N.W., Apt #5104", Albuquerque, New Mexico,87104,Mountain Zone,TRUE
Aliso Polo,27221 Cordero Lane, Mission Viejo, California,92691,Southern Pacific Zone,FALSE
Altamont Passers,"Livermore High School, 600 Maple St.", Livermore, California,94550,Pacific Zone,FALSE
Alumni Water Polo Club,7682 Ferrari Ct., Fair Oaks, California,95628,International Zone,FALSE
American River Water Polo Club,"4005 Manzanita Ave Ste 6, Pmb 240", Carmichael, California,95608,Central California Zone,FALSE
Anchorage Water Polo Club,10250 Jamestown Dr. Apt 8, Anchorage, Alaska,99507,Pacific Northwest & Hawaii Zone,TRUE
Anteater Aquatics Foundation,,,,,Southern Pacific Zone,FALSE
Anuenue Water Polo,2693 East Manoa Road, Honolulu, Hawaii,96822,Pacific Northwest & Hawaii Zone,FALSE
Apex Water Polo,"Temecula Valley High School, 31555 Rancho Vista Rd.", Temecula, California,92592,Southern Pacific Zone,TRUE
AquaTex Waterpolo,"Micki Krebsbach Swimming Pool, 301 Deepwood Drive", Round Rock, Texas,78681,Southwest Zone,TRUE
Arapahoe Warrior Aquatics,"Arapahoe High School, 2201 E Ory Creek Road", Centennial, Colorado,80122,Mountain Zone,FALSE
Arise Aquatics,,,,,Coastal California Zone,FALSE
Arroyo Grande Water Polo,429 Bakeman Ln., Arroyo Grande, California,93420,Central California Zone,TRUE
ASA Aquatics,2121 E. Childs Avenue, Merced, California,95340,Central California Zone,TRUE
Ashland Water Polo,Po Box 623, Ashland, Oregon,97520,Pacific Northwest & Hawaii Zone,FALSE
Asphalt Green Water Polo Club,555 East 90th Street, New York, New York,10128,Northeast Zone,TRUE
Atherton Water Polo Club,"Sacred Heart Aquatic Center, 150 Valparaiso Ave", Atherton, California,94027,Pacific Zone,FALSE
Atlanta Rainbow Trout,"541 Tenth St. Nw, Box 314",Atlanta,Georgia,30318,Southeast Zone,FALSE
Austin Water Polo Club,4300 WESTBANK DRIVE, Austin, Texas,78746,Southwest Zone,TRUE
Back Bay Aquatics Foundation,"University California Irvine, 903 W. Peltason", Irvine, California,92697,Southern Pacific Zone,TRUE
Bainbridge Water Polo,8521 Madison Ave N, Bainbridge, Washington,98110,Pacific Northwest & Hawaii Zone,TRUE
Barcelona Lions Water Polo,,,,,Southeast Zone,TRUE
Bat Rays Water Polo Club,25800 Carlos Bee Blvd, Hayward, California,94542,Pacific Zone,TRUE
Bay Area Masters,"416 Los Gatos Blvd,", Los Gatos, California,95032,Pacific Zone,FALSE
Bay Area Polo,"Saint Francis High School and the Brothers of Holy Cross, 1885 Miramonte Ave", Mountain View, California,94040,Pacific Zone,TRUE
Bay United Sport,,,,,Pacific Zone,FALSE
Bear River HS Water Polo,1450 S Main, Garland, Utah,84312,Mountain Zone,TRUE
Bend Waves Water Polo Club,"Juniper Swim & Fitness Center, 800 Ne 6Th Street", Bend, Oregon,97701,Pacific Northwest & Hawaii Zone,TRUE
Bengal Water Polo,7500 S. 2700 E.,Salt Lake City,Utah,84121,Mountain Zone,TRUE
Big Valley Water Polo Academy,"Cortopossi Aquatic Center, 5648 N El Dorado St", Stockton, California,95207,Central California Zone,TRUE
Black Swamp Water Polo,701 Briarheath Drive, Napoleon, Ohio,43545,Midwest Zone,TRUE
Blue Crush Aquatic Club,Po Box 301164, Portland, Oregon,97294,Pacific Northwest & Hawaii Zone,TRUE
Blue Thunder Masters Water Polo Club,23648 Susana Ave, Torrance, California,90505,Coastal California Zone,FALSE
Bluff City Water Polo,431 Revell Pointe West, Collierville, Tennessee,38017,Southeast Zone,TRUE
Boa - (Brea Olinda Aquatics),"Brea Olinda High School, 789 Wildcat Way", Brea, California,92821,Southern Pacific Zone,FALSE
Breach Aquatics,"Breach Aquatics, 2636 Key Largo Ln", Fort Lauderdale, Florida,33312,Southeast Zone,TRUE
Breakers Water Polo Club,"Menlo School, 50 Valparaiso", Atherton, California,94027,Pacific Zone,FALSE
Brooklyn Hustle Waterpolo Club,"122 Ashland Place,15 M", Brooklyn, New York,11201,Northeast Zone,TRUE
Bulldawg Water Polo Club,1678 Hanson Way, Ramona, California,92065,International Zone,TRUE
